id,student_id,created_at,updated_at
1,1,2020-03-14 16:36:15.594536,2020-03-14 16:36:15.594536
2,1,2020-03-14 16:43:51.424041,2020-03-14 16:43:51.424041
3,2,2020-03-15 10:49:40.807646,2020-03-15 10:49:40.807646
4,2,2020-03-15 10:49:43.124707,2020-03-15 10:49:43.124707
5,1,2020-03-15 10:49:53.265127,2020-03-15 10:49:53.265127
6,4,2020-03-15 17:58:49.026212,2020-03-15 17:58:49.026212
7,4,2020-03-15 17:59:19.731477,2020-03-15 17:59:19.731477
8,4,2020-03-15 17:59:23.178194,2020-03-15 17:59:23.178194
9,4,2020-03-15 17:59:24.0168,2020-03-15 17:59:24.0168
10,5,2020-03-15 19:02:35.173179,2020-03-15 19:02:35.173179
11,5,2020-03-15 19:02:37.185201,2020-03-15 19:02:37.185201
43,2,2020-03-24 23:42:40.560736,2020-03-24 23:42:40.560736
44,2,2020-03-24 23:42:49.336031,2020-03-24 23:42:49.336031
45,2,2020-03-29 19:09:27.817327,2020-03-29 19:09:27.817327
46,2,2020-03-29 22:34:31.390758,2020-03-29 22:34:31.390758
47,2,2020-03-29 22:52:23.746584,2020-03-29 22:52:23.746584
48,2,2020-03-29 22:53:10.225554,2020-03-29 22:53:10.225554
49,2,2020-03-29 22:53:34.947799,2020-03-29 22:53:34.947799
50,2,2020-03-30 09:38:24.38848,2020-03-30 09:38:24.38848
51,2,2020-03-30 18:12:36.923484,2020-03-30 18:12:36.923484
52,2,2020-06-17 14:55:16.960718,2020-06-17 14:55:16.960718
